file_path	download_url	player_name	dob	position	draft_team	hand	height	weight	games_played	wins	losses	ties_ot_losses	minutes	shootouts	gaa	save_percentage	goals	assists	points	plus_minus	point_shares	penalty_minutes	shots_on_goal	game_winning_goals
./scraped/players/aaltoan01.html	https://www.hockey-reference.com/players/a/aaltoan01.html	Antti Aalto	March 4, 1975	C	Anaheim	Left	185.0	95.0	151.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.0	17.0	28.0	-25.0	0.4	52.0	182.0	1.0
./scraped/players/aaltoju01.html	https://www.hockey-reference.com/players/a/aaltoju01.html	Juhamatti Aaltonen	June 4, 1985	RW	St. Louis	""	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
./scraped/players/aaltole01.html	https://www.hockey-reference.com/players/a/aaltole01.html	Leevi Aaltonen	January 24, 2001	RW	NY Rangers	Left	173.0	80.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
./scraped/players/aaltomi01.html	https://www.hockey-reference.com/players/a/aaltomi01.html	Miro Aaltonen	June 7, 1993	C	Anaheim	Left	183.0	79.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
./scraped/players/aamodwy01.html	https://www.hockey-reference.com/players/a/aamodwy01.html	Wyatt Aamodt	November 22, 1997	D		Left	183.0	91.0	2.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.0	0.0	1.0	1.0	0.3	0.0	3.0	0.0
./scraped/players/abbeybr01.html	https://www.hockey-reference.com/players/a/abbeybr01.html	Bruce Abbey	August 18, 1951	D		Left	185.0	83.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
./scraped/players/abbotge01.html	https://www.hockey-reference.com/players/a/abbotge01.html	George Henry Abbott	August 3, 1911	G		Left	170.0	69.0	1.0	0.0	1.0	0.0	60.0	0.0	7.0	NaN	NaN	NaN	NaN	NaN	0.0	NaN	NaN	NaN
./scraped/players/abbotre01.html	https://www.hockey-reference.com/players/a/abbotre01.html	Reginald Stewart Abbott	February 4, 1930	C		Left	180.0	74.0	3.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0	0.0	0.0	NaN	-0.1	0.0	NaN	0.0
./scraped/players/abbotsp01.html	https://www.hockey-reference.com/players/a/abbotsp01.html	Spencer Abbott	April 30, 1988	LW		Right	175.0	77.0	2.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0	0.0	0.0	-2.0	-0.1	0.0	3.0	0.0
./scraped/players/abdelju01.html	https://www.hockey-reference.com/players/a/abdelju01.html	Justin Abdelkader	February 25, 1987	LW	Detroit	Left	188.0	96.0	739.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	106.0	146.0	252.0	-56.0	18.9	608.0	1238.0	15.0
./scraped/players/abelcl01.html	https://www.hockey-reference.com/players/a/abelcl01.html	Clarence John Abel	May 28, 1900	D		Left	185.0	102.0	333.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	20.0	18.0	38.0	NaN	31.5	365.0	NaN	5.0
./scraped/players/abelge01.html	https://www.hockey-reference.com/players/a/abelge01.html	Gerald Scott Abel	December 25, 1944	LW		Left	188.0	76.0	1.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
./scraped/players/abelsi01.html	https://www.hockey-reference.com/players/a/abelsi01.html	Sidney Gerald Abel	February 22, 1918	C		Left	180.0	77.0	612.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	188.0	284.0	472.0	NaN	49.4	376.0	NaN	25.0
