file_path	download_url	player_name	dob	position	draft_team	hand	height	weight	games_played	wins	losses	ties_ot_losses	minutes	shootouts	gaa	save_percentage	goals	assists	points	plus_minus	point_shares	penalty_minutes	shots_on_goal	game_winning_goals	title	full_name	birthplace	career_start	career_end	draft	draft_year	draft_team	current_league	national_team	current_team	nationality	date_of_birth	sex
./scraped/players/greeraj01.html	https://www.hockey-reference.com/players/g/greeraj01.html	A.J. Greer	December 14, 1996	LW	Colorado	Left	190.0	94.0	255.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	20.0	31.0	51.0	5.0	3.6	340.0	256.0	4.0														
./scraped/players/jenksa.01.html	https://www.hockey-reference.com/players/j/jenksa.01.html	A.J. Jenks	June 27, 1990	LW	Florida		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN														
./scraped/players/thelea.01.html	https://www.hockey-reference.com/players/t/thelea.01.html	A.J. Thelen	March 11, 1986	D	Minnesota		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN														
./scraped/players/rasanaa01.html	https://www.hockey-reference.com/players/r/rasanaa01.html	Aapeli Rasanen	June 1, 1998	C	Edmonton	Right	183.0	88.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN														
./scraped/players/talviaa01.html	https://www.hockey-reference.com/players/t/talviaa01.html	Aarne Talvitie	February 11, 1999	C	New Jersey	Left	180.0	90.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN														
./scraped/players/boogaaa01.html	https://www.hockey-reference.com/players/b/boogaaa01.html	Aaron Boogaard	August 11, 1986	RW	Minnesota		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	Aaron Boogaard	Aaron Boogaard	Regina, Saskatchewan, Canada	2007.0	2017.0	175th overall	2004	Minnesota Wild						
./scraped/players/broteaa01.html	https://www.hockey-reference.com/players/b/broteaa01.html	Aaron Broten	November 14, 1960	LW	Colorado	Left	178.0	81.0	748.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	186.0	329.0	515.0	-72.0	30.9	441.0	1422.0	25.0	Aaron Broten	Aaron Kent Broten	Roseau, Minnesota, U.S.	1980.0	1992.0	106th overall	1980	Colorado Rockies (NHL)		USA		American		
./scraped/players/wardaa01.html	https://www.hockey-reference.com/players/w/wardaa01.html	Aaron Christian Ward	January 17, 1973	D	Winnipeg	Right	188.0	94.0	839.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	44.0	107.0	151.0	-41.0	34.0	736.0	679.0	9.0	Aaron Ward (ice hockey)	Aaron Christian Ward	, Ontario	1993.0	2010.0	5th overall	1991	Winnipeg Jets (1972–96)	National Hockey League			Canadian		
./scraped/players/dawsoaa01.html	https://www.hockey-reference.com/players/d/dawsoaa01.html	Aaron Dawson	March 11, 1985	D	Carolina		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN														
./scraped/players/dellaa01.html	https://www.hockey-reference.com/players/d/dellaa01.html	Aaron Dell	May 4, 1989	G		Left	183.0	96.0	130.0	50.0	50.0	13.0	6873.0	5.0	2.92	0.905	NaN	NaN	NaN	NaN	17.9	NaN	NaN	NaN	Aaron Dell	Aaron Dell	Airdrie, Alberta, Canada	2012.0	2025.0	Undrafted						Canadian		
./scraped/players/downeaa01.html	https://www.hockey-reference.com/players/d/downeaa01.html	Aaron Douglas Downey	August 27, 1974	RW		Right	185.0	97.0	243.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.0	10.0	18.0	-4.0	0.5	494.0	85.0	3.0	Aaron Downey	Aaron Douglas Downey	, Ontario	1996.0	2009.0	Undrafted						Canadian		
./scraped/players/ekblaaa01.html	https://www.hockey-reference.com/players/e/ekblaaa01.html	Aaron Ekblad	February 7, 1996	D	Florida	Right	193.0	99.0	739.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	119.0	263.0	382.0	94.0	70.9	509.0	1808.0	27.0	Aaron Ekblad	Aaron Ekblad	Windsor, Ontario, Canada	2014.0		1st overall	2014	Florida Panthers	National Hockey League	Canada	Florida Panthers	Canadian		
./scraped/players/gagnoaa01.html	https://www.hockey-reference.com/players/g/gagnoaa01.html	Aaron Gagnon	April 24, 1986	C	Phoenix	Right	178.0	83.0	38.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.0	2.0	5.0	-2.0	0.2	2.0	28.0	1.0	Aaron Gagnon	Aaron Gagnon	Quesnel, British Columbia, Canada	2007.0	2020.0	240th overall	2004	Phoenix Coyotes				Canadian		
