title	full_name	birthplace	career_start	career_end	draft	draft_year	draft_team	current_league	national_team	current_team	nationality	date_of_birth	sex
Celeste Brown (ice hockey)	Celeste Brown	, Montana	2015	2017				Premier Hockey Federation			American		f
Miska Humaloja	Miska Humaloja	Pyhäjärvi, Finland	2012					Liiga		Oulun Kärpät	Finnish		
Radek Koblížek	Radek Koblížek	Ivančice, Czech Republic	2015					Liiga		KooKoo (Liiga)	Czech		
Aleksi Mäkelä (ice hockey, born 1993)	Aleksi Mäkelä	Kiiminki, Finland	2014					Polska Hokej Liga		JKH GKS Jastrzębie	Finnish		
Taneli Ronkainen	Taneli Ronkainen	Kuusamo, Finland	2015					Polska Hokej Liga		JKH GKS Jastrzębie	Finnish		
Adam Dlouhý	Adam Dlouhý	Liberec, Czech Republic	2013					Czech Extraliga		HC Bílí Tygři Liberec	Czech		
Ethan Prow	Ethan Prow	Sauk Rapids, Minnesota, Minnesota	2016		Undrafted			Deutsche Eishockey Liga		Grizzlys Wolfsburg	American		
Ying Rudi	Ying Rudi	Beijing, China	2016	2022					China		Chinese		
Jenny Brine	Jenny Brine	, Canada	2005	2015				CWHL		Toronto Furies (2010-13)			f
Michal Plutnar	Michal Plutnar	Chotěboř, Czech Republic	2013					Czech Extraliga		HC Bílí Tygři Liberec	Czech		
Andrei Zuev	Andrei Aleksandrovich Zuev												
Laurent Brossoit	Laurent Brossoit	Port Alberni, British Columbia, Canada	2013		164th overall	2011	Calgary Flames	National Hockey League		Chicago Blackhawks			
Igor Dmitriev (ice hockey)	Igor Yefimovich Dmitriev	Moscow, Soviet Union	1955	1975									
Ron Morgan	Ron Morgan	Toronto, Canada	1972	1977	Undrafted						Canadian		
Al Rycroft	Allen Bruce Rycroft	, Alberta	1971	1975	Undrafted						Canadian		
Bill Morris (ice hockey)	William John Morris	Toronto, Canada	1971	1985	Undrafted						Canadian		
Jim Schraefel	James Schraefel	, Manitoba	1970	1974	Undrafted						Canadian		
Craig Topolnisky	Craig Topolnisky	Edmonton, Canada	1977	1996	Undrafted						Canadian		
Mike Conroy (ice hockey)	Mike Conroy	, Ontario	1973	1977	Undrafted						Canadian		
Normand Cournoyer	Normand Cournoyer	Drummondville, Canada	1971	1978	Undrafted						Canadian		
Eduard Zankovets	Eduard Konstantinovich Zankovets	Minsk, Soviet Union	1987	2002	Undrafted				BLR				
Flavien Conne	Flavien Conne	Puidoux, Switzerland	1996	2014	250th overall	2000	Los Angeles Kings		SUI		Swiss		
Chris Hartsburg	Chris Hartsburg	Edina, Minnesota, United States	2002	2008	214th overall	1999	New Jersey Devils				American		
Ray DiLauro	Ray DiLauro	, Pennsylvania	2002		246th overall	1999	Atlanta Thrashers				American		
Russ Sinkewich	Russ Sinkewich	Westlake, Ohio, U.S.	2009	2014	Undrafted								
Aaron Ness	Aaron Douglas Ness	Roseau, Minnesota, U.S.&lt;ref&gt;{{cite web	2011		40th overall	2008	New York Islanders	American Hockey League	USA	Hershey Bears	American		
James Sanford (ice hockey)	James Sanford	Timmins, Canada	2004	2016	Undrafted			ECHL			Canadian		
Sean Blanchard	Sean Blanchard	, Greater Sudbury	1998		99th overall	1997	Los Angeles Kings	Allan Cup Hockey	Canada	Brantford Blast	Canadian		
Manfred Wolf (ice hockey)	Manfred Wolf	Toronto, Canada									Canadian		
Mário Grman	Mário Grman	Topoľčany, Slovakia	2016		Undrafted			Kontinental Hockey League	Slovakia	Admiral Vladivostok	Slovak		
Gert Kompajn	Gert Kompajn	Klagenfurt, Austria									Austrian		
Werner Kerth	Werner Kerth	Kapfenberg, Austria									Austrian		
Günter Koren	Günter Koren	Klagenfurt, Austria									Austrian		
Robert Mack	Robert Mack	Klagenfurt, Austria											
Manfred Mühr	Manfred Mühr	Vienna, Austria									Austrian		
Gerhard Pusnik	Gerhard Pusnik	, Vorarlberg									Austrian		
Andreas Salat	Andreas Salat	Vienna, Austria									Austrian		
Michael Shea (ice hockey)	Michael Shea	Montreal, Canada									Austrian		
Brian Stankiewicz	Brian Stankiewicz	Toronto, Canada									Austrian		
Hans Sulzer	Hans Sulzer	Klagenfurt, Austria									Austrian		
Silvio Szybisti	Silvio Szybisti	Salzburg, Austria									Austrian		
Peter Znenahlik	Peter Znenahlik	Vienna, Austria									Austrian		
Mojmír Božík	Mojmír Božík	Liptovský Mikuláš, Czechoslovakia	1980	2002	231st overall	1986	Edmonton Oilers		TCH		Slovak		
Jiří Doležal (ice hockey, born 1963)	Jiří Doležal	Prague, Czechoslovakia											
Oto Haščák	Oto Haščák	, Slovakia	1983	2002	143rd overall	1989	Boston Bruins		SVK		Slovak		
Radim Raděvič	Radim Raděvič	Opava, Czechoslovakia									Czech		
Rudolf Suchánek	Rudolf Suchánek	České Budějovice, Czechoslovakia									Czech		
Rostislav Vlach	Rostislav Vlach	Přerov, Czechoslovak Socialist Republic	1980	2007	216th overall	1987	Los Angeles Kings		TCH				
Petr Vlk	Petr Vlk	Havlíčkův Brod, Czechoslovak Socialist Republic	1984	2003	97th overall	1987	New York Islanders		TCH		Czech		
Guy Dupuis (ice hockey, born 1957)	Guy Dupuis	Longueuil, Canada									French		
Peter Almásy	Peter Almásy	Poprad, Czechoslovakia									French		
Stéphane Botteri	Stéphane Botteri	Annecy, France									French		
Jean-Marc Djian	Jean-Marc Djian	La Tronche, France									French		
Patrick Foliot	Patrick Foliot	, Saint Pierre and Miquelon									French		
Michel Leblanc (ice hockey)	Michel Leblanc	Trois-Rivières, Canada									Canadian		
Jean-Philippe Lemoine	Jean-Philippe Lemoine	, Valence (city)									French		
Jean-Christophe Lerondeau	Jean-Christophe Lerondeau	Juvisy-sur-Orge, France									French		
Stéphane Lessard	Stéphane Lessard	,									French		
Daniel Maric	Daniel Maric	Grenoble, France									French		
Franck Pajonkowski	Franck Pajonkowski	Douai, France									French		
Antoine Richer	Antoine Richer	Amiens, France									French		
Pierre Schmitt	Pierre Schmitt	,									French		
Christophe Ville	Christophe Ville	Dijon, France	1980	1998					FRA		French		
Steven Woodburn	Steven Woodburn	Montreal, Canada	1986	2001	240th overall	1983	Edmonton Oilers		France		French		
Christian Brittig	Christian Brittig	Landshut, West Germany									German		
Georg Franz	Georg Franz	Rosenheim, West Germany									German		
Georg Holzmann	Georg Holzmann	Füssen, West Germany									German		
Dieter Medicus (ice hockey)	Dieter Medicus	Kaufbeuren, Germany									German		
Peter Obresa	Peter Obresa	Mannheim, West Germany									German		
Josef Schlickenrieder	Josef Schlickenrieder	Bad Tölz, West Germany									German		
Manfred Schuster	Manfred Schuster	Kaufbeuren, West Germany									German		
Bernd Truntschka	Bernd Truntschka	Landshut, West Germany									German		
Peter Schiller (ice hockey)	Peter Schiller	Selb, West Germany											
Markus Lehto	Markus Lehto	Helsinki, Finland									Finnish		
Hannu Oksanen	Hannu Oksanen	Ylöjärvi, Finland									Finnish		
Harri Tuohimaa	Harri Tuohimaa	Turku, Finland									Finnish		
Marco Capone	Marco Capone	Mals, Italy									Italian		
John Bellio	John Bellio	Hamilton, Ontario, Canada									Italian		
Gerard Ciarcia	Gerard Ciarcia	Boston, United States									Italian		
Roberto De Piero	Roberto &quot;Bob&quot; De Piero	Thunder Bay, Canada									Italian		
